iter	Passed	Remaining
0	3	360
1	5	257
2	7	227
3	9	221
4	10	203
5	12	190
6	13	179
7	15	172
8	16	166
9	18	164
10	19	159
11	21	155
12	22	150
13	24	147
14	25	144
15	26	141
16	28	138
17	29	135
18	31	132
19	32	131
20	34	129
21	36	129
22	37	126
23	39	124
24	40	122
25	42	120
26	44	119
27	45	116
28	46	114
29	48	112
30	49	111
31	51	109
32	52	107
33	54	105
34	55	103
35	57	101
36	58	99
37	60	98
38	61	96
39	62	94
40	64	92
41	65	90
42	66	88
43	68	86
44	69	84
45	70	83
46	72	81
47	73	79
48	74	77
49	75	75
50	77	74
51	78	72
52	79	70
53	81	69
54	83	68
55	84	66
56	86	64
57	87	63
58	88	61
59	89	59
60	91	58
61	92	56
62	93	55
63	95	53
64	96	51
65	98	50
66	99	49
67	101	47
68	103	46
69	104	44
70	105	43
71	107	41
72	108	40
73	109	38
74	111	37
75	113	35
76	114	34
77	115	32
78	116	31
79	118	29
80	119	28
81	120	26
82	122	25
83	123	23
84	124	22
85	126	20
86	127	19
87	129	17
88	131	16
89	132	14
90	133	13
91	134	11
92	136	10
93	137	8
94	138	7
95	140	5
96	141	4
97	143	2
98	144	1
99	146	0
