iter	MultiClass
0	0.9037435489
1	0.8074883647
2	0.7574064382
3	0.7092774558
4	0.6847635005
5	0.6516887574
6	0.6272553097
7	0.6109784022
8	0.589196094
9	0.5698208076
10	0.555097853
11	0.5374123115
12	0.5246764949
13	0.5161452506
14	0.509679269
15	0.4995255749
16	0.4897350927
17	0.4700459686
18	0.466302603
19	0.4527586307
20	0.4437947517
21	0.4336851939
22	0.4269524605
23	0.4197547111
24	0.405800075
25	0.4026423869
26	0.3953460515
27	0.3878544717
28	0.3794706474
29	0.3720763496
30	0.3607483399
31	0.3546023141
32	0.348805672
33	0.3457421057
34	0.3403453865
35	0.3350792014
36	0.3315887341
37	0.3217360924
38	0.3182702562
39	0.3133161073
40	0.3073642798
41	0.3004280048
42	0.2959030767
43	0.2927624768
44	0.2914444321
45	0.2864205788
46	0.2824666829
47	0.2788433054
48	0.2774385289
49	0.2752453242
50	0.2679789831
51	0.2647986664
52	0.2624541392
53	0.2568728149
54	0.2523166342
55	0.2476621362
56	0.2450277387
57	0.2394174387
58	0.2317902974
59	0.2275523627
60	0.2244783501
61	0.2212509388
62	0.2169321071
63	0.2125229954
64	0.2076719382
65	0.2058065878
66	0.2032671225
67	0.200098592
68	0.1959460519
69	0.1935580282
70	0.1926183083
71	0.1889041742
72	0.1853305494
73	0.1835560087
74	0.1809232299
75	0.1789512597
76	0.1762471012
77	0.17439062
78	0.1719313242
79	0.1697842434
80	0.1689589311
81	0.1666923298
82	0.1630734868
83	0.162044134
84	0.1579859014
85	0.1546390788
86	0.1529501911
87	0.1503533706
88	0.1473773204
89	0.1445801782
90	0.1436917316
91	0.1417789581
92	0.1406769237
93	0.1391997495
94	0.137138613
95	0.1336578036
96	0.1327693196
97	0.1305069618
98	0.1291016302
99	0.1276725184
